priority,problem summary,assignment group,current status,title,business impact description,reported by,environment,reported date,processed_problem_summary,keyWords
High,"Backup did not complete successfully, leaving the system at risk without a recent recovery point.",Development Team,Closed,Unauthorized Access Detected,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User1,Staging,2024-01-01,"['backup', 'complete', 'successfully', 'leaving', 'system', 'risk', 'without', 'recent', 'recovery', 'point']",backup complete successfully leaving system
Medium,"API responses have slowed down significantly, leading to timeouts and delays in service delivery, which is affecting user experience.",IT Support,In Progress,API Response Delay,"The failed backup process has left the system vulnerable to data loss, especially if a system failure or security incident occurs in the near future.",User2,Staging,2024-01-03,"['api', 'response', 'slowed', 'significantly', 'leading', 'timeouts', 'delay', 'service', 'delivery', 'affecting', 'user', 'experience']",api response slowed significantly leading
High,"Multiple attempts at unauthorized access detected on our server, raising serious security concerns.",Security Team,Open,Login Service Down,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User5,Development,2024-01-05,"['multiple', 'attempt', 'unauthorized', 'access', 'detected', 'server', 'raising', 'serious', 'security', 'concern']",multiple attempt unauthorized access detected
Low,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",Development Team,Pending,Backup Process Failed,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User4,Production,2024-01-07,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
Critical,A sudden server crash due to hardware failure has taken down all key production systems.,Database Admins,Resolved,Data Corruption Issue,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User1,Production,2024-01-09,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
High,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",IT Support,Resolved,Data Corruption Issue,"Network issues are slowing down key applications, which could delay project timelines and reduce output.",User1,Production,2024-01-11,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
High,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",Development Team,Pending,Database Connection Failure,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User4,Development,2024-01-13,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
High,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",Security Team,Resolved,Application Deployment Failure,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User4,Development,2024-01-16,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
High,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",IT Support,Resolved,Login Service Down,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User4,Staging,2024-01-18,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
Low,"During peak usage hours, network latency has spiked, making applications sluggish and unresponsive.",Database Admins,Closed,Server Crash,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User3,Staging,2024-01-20,"['peak', 'usage', 'hour', 'network', 'latency', 'spiked', 'making', 'application', 'sluggish', 'unresponsive']",peak usage hour network latency
